0.910945	0.502508	0.910945	0.502508
0.218595	0.032539	0.218595	0.032539
0.283512	0.975761	0.283512	0.975761
0.077213	0.074184	0.077213	0.074184
0.877802	0.877802	0.877802	0.877802
1.000000	1.000000	1.000000	1.000000
0.147355	0.660146	0.147355	0.660146
0.885206	0.501941	0.885206	0.501941
0.318789	0.250895	0.318789	0.250895
0.118305	0.595605	0.118305	0.595605
0.496544	0.172324	0.496544	0.172324
0.536764	0.016567	0.536764	0.016567
0.596826	0.236505	0.596826	0.236505
0.291880	0.611604	0.291880	0.611604
